"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"206","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACSA",3,11,14
"207","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FRAM",4,0,4
"208","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FAGR",0,0,0
"209","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
"210","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","BEAL",0,0,0
"211","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","all",9,7,16
"212","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACSA",5,4,9
"213","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FRAM",0,0,0
"214","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FAGR",1,1,2
"215","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
"216","CMSF11unh3","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","BEAL",2,0,2
"217","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","all",22,13,35
"218","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACSA",0,5,5
"219","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FRAM",0,1,1
"220","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FAGR",1,0,1
"221","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACRU",0,1,1
"222","CMSF11unh4","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","BEAL",0,0,0
"223","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","all",8,17,25
"224","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACSA",1,4,5
"225","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FRAM",0,0,0
"226","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FAGR",0,0,0
"227","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
"228","CMSF62unh1","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","BEAL",0,0,0
"229","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","all",2,35,37
"230","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACSA",0,7,7
"231","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FRAM",0,0,0
"232","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FAGR",1,5,6
"233","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
"234","CMSF62unh2","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","BEAL",0,0,0
"235","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","all",12,19,31
"236","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACSA",0,2,2
"237","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FRAM",0,0,0
"238","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","FAGR",1,2,3
"239","CMSF62unh3","Cardigan Mountain State Forest comp 6 stand 2","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
