"species","age","mapcode"
"acerrubr","92","2008"
"betupapy","87","2008"
"acerrubr","41","2009"
"acerrubr","49","2010"
"acersacc","39","2010"
"betualle","81","2010"
"fraxamer","39","2010"
"acerrubr","60","2011"
"acersacc","59","2011"
"betualle","60","2011"
"abiebals","59","2012"
"acerrubr","59","2012"
"picerube","75","2012"
"acersacc","59","2013"
"betualle","81","2013"
"fagugran","80","2013"
"acersacc","61","2014"
"betupapy","58","2014"
"fagugran","69","2014"
"acersacc","123","2015"
"betualle","78","2015"
"fagugran","89","2015"
"acerrubr","55","2016"
"acersacc","69","2016"
"betualle","86","2016"
"fagugran","60","2016"
"betualle","52","2017"
"acersacc","51","2018"
"betualle","83","2018"
"fagugran","59","2018"
"acersacc","107","2019"
"fagugran","80","2019"
"acersacc","116","2020"
"fagugran","67","2020"
"acersacc","90","2021"
"fraxamer","68","2021"
"pinustro","109","2021"
"acerrubr","91","2022"
"betualle","88","2022"
"picerube","90","2022"
"acersacc","68","2023"
"betualle","80","2023"
"fagugran","83","2023"
"acersacc","87","2024"
"fraxamer","76","2024"
"querrubr","96","2024"
"acerrubr","89","2025"
"betualle","57","2025"
"fagugran","66","2025"
"tsugcana","69","2025"
"acerrubr","60","2026"
"fagugran","56","2026"
"acerrubr","98","2027"
"tsugcana","92","2027"
"acersacc","87","2028"
"fagugran","53","2028"
"fraxamer","80","2028"
"acerrubr","65","2029"
"betupapy","70","2029"
"picerube","49","2029"
"acersacc","102","2030"
"querrubr","123","2030"
"acerrubr","71","2031"
"acersacc","41","2031"
"betualle","67","2031"
"fagugran","48","2031"
"acersacc","112","2032"
"betualle","137","2032"
"fagugran","107","2032"
"acerrubr","61","2033"
"acersacc","68","2033"
"fraxamer","65","2033"
"acerrubr","52","2034"
"betualle","69","2034"
"fagugran","46","2034"
"picerube","53","2034"
"acerrubr","71","2035"
"betualle","88","2035"
"tsugcana","70","2035"
"acersacc","103","2036"
"betualle","68","2036"
"fagugran","77","2036"
"fraxamer","81","2036"
"abiebals","76","2037"
"betupapy","92","2037"
"acerrubr","92","2038"
"acersacc","88","2038"
"tsugcana","90","2038"
"acerrubr","99","2039"
"acersacc","95","2039"
"fagugran","107","2039"
"acerrubr","68","2040"
"betualle","62","2040"
"betualle","71","2041"
"fagugran","48","2041"
"acerrubr","88","2079"
"acersacc","82","2079"
"betualle","91","2079"
"acerrubr","113","2080"
"betualle","108","2080"
"tsugcana","96","2080"
"acerrubr","125","2081"
"betualle","121","2081"
"tsugcana","124","2081"
"acersacc","105","2082"
"betualle","114","2082"
"fagugran","103","2082"
"acersacc","94","2083"
"picerube","99","2083"
"betualle","33","2084"
"fagugran","54","2084"
"acerrubr","108","2085"
"acerrubr","115","2086"
"picerube","79","2086"
"tsugcana","80","2086"
"acersacc","91","2087"
"betualle","93","2087"
